,origin_dep_time,destination_arr_time,destination_dep_time,origin_arr_time,price,link
23,11:55 AM,4:55 PM,6:30 PM,6:06 PM,"C$1,003",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181155--32695-1-12234-1911201655|14788-1911251830--32695-2-16216-1911251806
24,11:20 PM,4:55 PM,6:30 PM,4:05 PM,"C$1,003",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911182320--32695-1-12234-1911201655|14788-1911251830--32695-1-16216-1911251605
25,11:20 PM,4:55 PM,6:30 PM,6:06 PM,"C$1,003",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911182320--32695-1-12234-1911201655|14788-1911251830--32695-2-16216-1911251806
26,11:55 AM,4:55 PM,6:50 PM,10:03 PM,"C$1,007",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181155--32695-1-12234-1911201655|12234-1911251850--32695-1-16216-1911252203
27,11:20 PM,4:55 PM,6:50 PM,10:03 PM,"C$1,007",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911182320--32695-1-12234-1911201655|12234-1911251850--32695-1-16216-1911252203
28,1:50 PM,4:10 PM,9:15 PM,11:20 AM,"C$1,013",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-12234-1911201610|14788-1911252115--32690-1-16216-1911261120
29,1:50 PM,4:10 PM,7:30 PM,11:20 AM,"C$1,013",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-12234-1911201610|12234-1911251930--32690-1-16216-1911261120
30,1:50 PM,8:00 PM,9:15 PM,11:20 AM,"C$1,013",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-14788-1911202000|14788-1911252115--32690-1-16216-1911261120
31,1:50 PM,8:00 PM,7:30 PM,11:20 AM,"C$1,013",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-14788-1911202000|12234-1911251930--32690-1-16216-1911261120
32,12:00 PM,8:50 PM,4:55 PM,9:30 AM,"C$1,048",https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181200--32442-1-12234-1911202050|14788-1911251655--32442-1-16216-1911260930
